,DEPT,TVD,Incl,Azim Grid,Azim True,VSEC,AHD,NS,EW,DLS,Northing,Easting,Well
164,547.5732,545.9049,11.48342246,215.559893,217.379893,19.88299465,24.74149733,-29.3657754,-11.72122995,1.283743316,5157511.584,691807.6888,Hebron 9301
165,547.7256,546.0542,11.49475936,215.5482888,217.3682888,19.90791444,24.77395722,-29.39240642,-11.73967914,1.289893048,5157511.558,691807.6703,Hebron 9301
166,547.878,546.2036,11.50609626,215.5366845,217.3566845,19.93283422,24.80641711,-29.41903743,-11.75812834,1.296042781,5157511.531,691807.6519,Hebron 9301
167,548.0304,546.3529,11.51743316,215.5250802,217.3450802,19.95775401,24.83887701,-29.44566845,-11.77657754,1.302192513,5157511.504,691807.6334,Hebron 9301
168,548.1828,546.5023,11.52877005,215.5134759,217.3334759,19.9826738,24.8713369,-29.47229947,-11.79502674,1.308342246,5157511.478,691807.615,Hebron 9301
169,548.3352,546.6516,11.54010695,215.5018717,217.3218717,20.00759358,24.90379679,-29.49893048,-11.81347594,1.314491979,5157511.451,691807.5965,Hebron 9301
170,548.4876,546.8009,11.55144385,215.4902674,217.3102674,20.03251337,24.93625668,-29.5255615,-11.83192513,1.320641711,5157511.424,691807.5781,Hebron 9301
171,548.64,546.9502,11.56278075,215.4786631,217.2986631,20.05743316,24.96871658,-29.55219251,-11.85037433,1.326791444,5157511.398,691807.5596,Hebron 9301
172,548.7924,547.0995,11.57411765,215.4670588,217.2870588,20.08235294,25.00117647,-29.57882353,-11.86882353,1.332941176,5157511.371,691807.5412,Hebron 9301
173,548.9448,547.2488,11.58545455,215.4554545,217.2754545,20.10727273,25.03363636,-29.60545455,-11.88727273,1.339090909,5157511.345,691807.5227,Hebron 9301
174,549.0972,547.3981,11.59679144,215.4438503,217.2638503,20.13219251,25.06609626,-29.63208556,-11.90572193,1.345240642,5157511.318,691807.5043,Hebron 9301
175,549.2496,547.5474,11.60812834,215.432246,217.252246,20.1571123,25.09855615,-29.65871658,-11.92417112,1.351390374,5157511.291,691807.4858,Hebron 9301
